City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,57.11,57,0,25.32,CL,1668967896
1,punta arenas,-53.15,-70.9167,53.71,50,40,32.21,CL,1668967896
2,sheltozero,61.3667,35.3667,22.95,81,4,6.58,RU,1668967896
3,damaturu,11.747,11.9608,79.75,23,11,9.91,NG,1668967897
4,ilo,-17.6394,-71.3375,66.65,77,80,3.87,PE,1668967897
5,solnechnyy,50.7214,136.6319,19.67,88,20,4.63,RU,1668967897
6,nome,64.5011,-165.4064,33.87,69,40,8.05,US,1668967898
7,qeshm,26.9581,56.2719,80.47,70,0,8.7,IR,1668967898
8,norman wells,65.282,-126.8329,20.88,92,82,10.92,CA,1668967352
9,port elizabeth,-33.918,25.5701,63.1,77,29,3.18,ZA,1668967898
10,mar del plata,-38.0023,-57.5575,65.08,94,100,14.97,AR,1668967899
11,hobart,-42.8794,147.3294,46.26,76,75,17.27,AU,1668967801
12,micheweni,-4.9667,39.8333,79.14,86,96,5.91,TZ,1668967899
13,labuhan,-6.8844,112.2051,79.95,82,77,6.93,ID,1668967378
14,yellowknife,62.456,-114.3525,14.23,93,67,6.02,CA,1668967651
15,urumqi,43.801,87.6005,25.75,100,100,2.24,CN,1668967899
16,fortuna,40.5982,-124.1573,53.94,88,0,8.05,US,1668967338
17,nikolskoye,59.7035,30.7861,24.69,96,93,4.92,RU,1668967900
18,mataura,-46.1927,168.8643,51.82,99,86,2.66,NZ,1668967900
19,aginskoye,51.1,114.53,1.45,91,11,4.09,RU,1668967900
20,senneterre,48.3835,-77.2328,12.61,72,100,12.44,CA,1668967336
21,daru,-9.0763,143.2092,77.97,87,88,3.31,PG,1668967417
22,sistranda,63.7256,8.834,30.16,58,6,16.6,NO,1668967901
23,port alfred,-33.5906,26.891,67.17,79,45,9.13,ZA,1668967901
24,praia,14.9215,-23.5087,79.34,61,40,23.02,CV,1668967309
25,ribeira grande,38.5167,-28.7,68.4,88,40,18.99,PT,1668967902
26,dobsice,48.8483,16.0822,35.74,89,94,7.47,CZ,1668967902
27,jardinopolis,-21.0178,-47.7639,90.82,31,40,4.61,BR,1668967902
28,diffa,13.3154,12.6113,78.37,18,100,6.82,NE,1668967351
29,hilo,19.7297,-155.09,74.62,94,75,4.61,US,1668967903
30,outjo,-20.1167,16.15,79.12,38,100,12.12,NA,1668967360
31,butaritari,3.0707,172.7902,80.22,80,15,12.5,KI,1668967903
32,kristiinankaupunki,62.2743,21.376,27.37,84,54,10.85,FI,1668967903
33,fairbanks,64.8378,-147.7164,17.6,87,100,2.39,US,1668967200
34,longyearbyen,78.2186,15.6401,35.44,80,75,14.97,SJ,1668967355
35,gat,31.61,34.7642,72.39,35,4,18.28,IL,1668967403
36,new norfolk,-42.7826,147.0587,45.91,71,85,10.0,AU,1668967904
37,la ronge,55.1001,-105.2842,23.25,54,75,9.22,CA,1668967904
38,rikitea,-23.1203,-134.9692,71.13,76,94,12.95,PF,1668967904
39,busselton,-33.65,115.3333,50.16,81,0,11.39,AU,1668967905
40,katangli,51.7102,143.2326,33.44,66,95,12.88,RU,1668967905
41,ancud,-41.8697,-73.8203,56.82,50,0,6.22,CL,1668967905
42,nioro,13.35,-15.75,84.81,20,77,3.78,GM,1668967379
43,hermanus,-34.4187,19.2345,62.8,74,2,7.74,ZA,1668967906
44,cocorit,27.5833,-109.9667,71.94,23,0,4.36,MX,1668967906
45,ushuaia,-54.8,-68.3,49.66,66,75,4.61,AR,1668967906
46,kaitangata,-46.2817,169.8464,51.21,98,48,0.49,NZ,1668967313
47,port lincoln,-34.7333,135.8667,53.44,60,94,22.73,AU,1668967378
48,kamaishi,39.2667,141.8833,53.55,92,100,4.29,JP,1668967907
49,drumheller,51.4617,-112.7101,35.44,63,92,0.0,CA,1668967907
50,halifax,44.6453,-63.5724,46.22,51,86,5.01,CA,1668967881
51,malakal,9.5334,31.6605,81.5,27,6,4.52,SS,1668967907
52,okhotsk,59.3833,143.3,17.11,95,100,10.98,RU,1668967340
53,marsa matruh,31.3525,27.2453,69.51,69,100,8.12,EG,1668967908
54,tazovskiy,67.4667,78.7,-21.06,99,81,6.2,RU,1668967404
55,bengkulu,-3.8004,102.2655,74.37,91,80,5.21,ID,1668967908
56,sao joao da barra,-21.6403,-41.0511,76.51,71,76,11.54,BR,1668967364
57,huilong,31.8111,121.655,60.58,88,85,5.48,CN,1668967908
58,castro,-24.7911,-50.0119,81.32,37,15,4.99,BR,1668967909
59,albany,42.6001,-73.9662,33.94,39,3,3.0,US,1668967909
60,kasongo,-4.45,26.6667,72.41,77,50,2.73,CD,1668967909
61,dolores,-36.3132,-57.6792,67.05,88,100,10.8,AR,1668967855
62,port blair,11.6667,92.75,79.84,79,99,5.21,IN,1668967337
63,samana,19.2056,-69.3369,86.22,74,40,4.61,DO,1668967910
64,avarua,-21.2078,-159.775,73.45,68,20,11.5,CK,1668967910
65,chuguyevka,44.1653,133.8633,30.9,98,94,1.16,RU,1668967910
66,homer,59.6425,-151.5483,37.8,78,100,4.0,US,1668967891
67,vaini,-21.2,-175.2,76.46,73,100,6.17,TO,1668967911
68,kruisfontein,-34.0033,24.7314,60.89,76,27,3.49,ZA,1668967911
69,bugene,-1.5911,31.1403,59.29,95,85,2.44,TZ,1668967911
70,biharamulo,-2.6319,31.3089,61.97,92,64,3.49,TZ,1668967912
71,viedma,-40.8135,-62.9967,69.8,25,39,16.35,AR,1668967425
72,malm,64.0721,11.2172,28.78,71,2,4.5,NO,1668967912
73,jining,35.405,116.5814,54.55,82,100,3.58,CN,1668967912
74,chistogorskiy,53.9835,87.3843,2.28,89,16,6.85,RU,1668967913
75,nianzishan,47.5167,122.8833,15.06,49,62,5.1,CN,1668967913
76,necochea,-38.5473,-58.7368,57.69,95,100,14.5,AR,1668967913
77,berovo,41.7031,22.8578,49.64,95,100,7.58,MK,1668967914
78,standerton,-26.9337,29.2415,62.62,49,0,8.57,ZA,1668967914
79,carnarvon,-24.8667,113.6333,69.4,66,0,18.5,AU,1668967338
80,vila velha,-20.3297,-40.2925,78.75,75,0,8.05,BR,1668967914
81,maniitsoq,65.4167,-52.9,23.68,76,100,8.39,GL,1668967915
82,voyvozh,62.892,54.9635,21.74,97,98,5.21,RU,1668967915
83,provideniya,64.3833,-173.3,21.09,91,100,11.34,RU,1668967317
84,ust-nera,64.5667,143.2,-12.84,99,100,4.21,RU,1668967915
85,atuona,-9.8,-139.0333,77.38,73,25,12.37,PF,1668967916
86,nalut,30.3333,10.85,53.56,37,30,8.61,LY,1668967916
87,zastron,-30.3023,27.084,62.24,17,9,6.6,ZA,1668967916
88,tabuny,52.7773,78.7896,7.48,77,18,8.52,RU,1668967917
89,calama,-22.4667,-68.9333,76.51,8,0,19.44,CL,1668967277
90,georgetown,5.4112,100.3354,82.24,83,20,0.0,MY,1668967297
91,saskylakh,71.9167,114.0833,-18.9,99,98,1.32,RU,1668967917
92,severo-kurilsk,50.6789,156.125,32.04,70,28,4.45,RU,1668967917
93,scarborough,54.2797,-0.4044,42.91,88,28,4.0,GB,1668967677
94,deputatskiy,69.3,139.9,-21.96,91,93,1.48,RU,1668967377
95,faanui,-16.4833,-151.75,78.48,76,100,18.77,PF,1668967918
96,bethel,41.3712,-73.414,37.0,38,40,19.57,US,1668967918
97,dentsville,34.064,-80.9582,50.05,36,0,4.61,US,1668967918
98,baykit,61.67,96.37,0.28,99,100,2.06,RU,1668967416
99,quatre cocos,-20.2078,57.7625,75.31,71,13,6.46,MU,1668967372
100,zhucheng,35.9947,119.3975,57.63,83,99,3.78,CN,1668967919
101,palmerston,-12.486,130.9833,78.78,90,100,4.61,AU,1668967919
102,cobija,-11.0267,-68.7692,92.46,44,93,2.39,BO,1668967919
103,edd,13.9297,41.6925,81.61,75,76,11.99,ER,1668967920
104,ilulissat,69.2167,-51.1,17.62,67,40,0.0,GL,1668967359
105,kushiro,42.975,144.3747,50.27,74,100,13.89,JP,1668967920
106,guerrero negro,27.9769,-114.0611,67.89,33,0,2.64,MX,1668967920
107,velizh,55.6056,31.1967,14.25,97,38,4.18,RU,1668967921
108,solntsevo,51.4185,36.7499,26.94,94,100,10.47,RU,1668967921
109,kavieng,-2.5744,150.7967,80.94,69,91,11.56,PG,1668967921
110,jamestown,42.097,-79.2353,23.72,76,100,14.97,US,1668967921
111,westport,41.1415,-73.3579,38.75,32,0,19.57,US,1668967922
112,vao,-22.6667,167.4833,73.67,78,81,8.86,NC,1668967422
113,mount gambier,-37.8333,140.7667,43.34,86,97,17.9,AU,1668967922
114,otradnoye,59.7775,30.8181,24.85,96,92,4.88,RU,1668967922
115,grindavik,63.8424,-22.4338,41.47,81,40,14.97,IS,1668967354
116,maxcanu,20.5833,-89.9833,81.64,79,69,4.38,MX,1668967923
117,hasaki,35.7333,140.8333,55.22,65,100,14.07,JP,1668967923
118,cayenne,4.9333,-52.3333,86.04,70,0,12.66,GF,1668967207
119,kapaa,22.0752,-159.319,77.32,81,40,17.27,US,1668967924
120,puerto ayacucho,5.6639,-67.6236,87.1,68,36,5.28,VE,1668967924
121,egvekinot,66.3167,-179.1667,-16.67,89,25,12.82,RU,1668967924
122,zhigansk,66.7697,123.3711,-19.32,100,99,6.91,RU,1668967373
123,airai,-8.9266,125.4092,61.45,92,100,1.92,TL,1668967925
124,lagoa,39.05,-27.9833,64.53,93,94,23.58,PT,1668967925
125,isangel,-19.55,169.2667,77.47,84,4,3.53,VU,1668967328
126,cabedelo,-6.9811,-34.8339,84.87,63,58,14.41,BR,1668967878
127,pevek,69.7008,170.3133,-24.95,97,100,9.53,RU,1668967344
128,rio grande,-32.035,-52.0986,76.35,63,100,16.02,BR,1668967346
129,nemuro,43.3236,145.575,50.09,71,100,18.66,JP,1668967362
130,hambantota,6.1241,81.1185,76.93,87,11,5.1,LK,1668967926
131,soyo,-6.1349,12.3689,77.85,82,51,7.78,AO,1668967346
132,east london,-33.0153,27.9116,65.93,74,39,8.43,ZA,1668967926
133,maralal,1.0968,36.698,61.32,77,95,7.27,KE,1668967927
134,mandera,3.9366,41.867,88.83,41,46,7.94,KE,1668967927
135,cabo san lucas,22.8909,-109.9124,81.61,61,20,8.05,MX,1668967747
